Feature,Importance
Minutes_from_midnight,0.037613165069609086
ACC_Mean2hrs,0.02844685842202405
Activity Bouts_24hr,0.027719111697026753
ACC_Max2hrs,0.02422957670946854
Peak_eda_2hr_mean,0.022539172892990043
Peak_eda_2hr_sum,0.022243901656171274
Hours_from_midnight,0.021442225031652756
TEMP_Max,0.020901136448414834
ACC_Std,0.019888091841223983
EDA_q1G,0.01949523168341881
TEMP_Mean,0.019293936945036012
TEMP_q3G,0.018246013972255604
EDA_q3G,0.018053811195436614
EDA_Mean,0.01804666775751193
TEMP_q1G,0.017976524607492064
TEMP_Min,0.017635951200620666
EDA_Min,0.01759999858890962
EDA_Max,0.017498559576819242
EDA_Std,0.016993003032116403
HR_q1G,0.016951519748210936
Carbs_24h,0.016885464644766094
ACC_Mean,0.01666810715886321
Sugar_24h,0.016507943476389987
ACC_q1G,0.0164371330691524
Protein_24h,0.016154914541455498
HRV_Mean,0.01609904829986612
HR_Std,0.01598473276837232
Eat_mean_24h,0.0159361055010388
Activity Bouts_1hr,0.015889950471735286
ACC_q3G,0.015425931687755154
HR_Max,0.015326805293410298
Calories_24h,0.014881434703126242
ACC_Max,0.01445894290027364
ACC_Min,0.014424683804324503
HR_Min,0.014356769985940921
TEMP_Std,0.014194271363404024
HR_q3G,0.014145886032226936
PNNX,0.014050209147131563
RMSSD,0.013937306916709472
HR_Mean,0.013855789906230084
EDA_skew,0.013713175557771358
Eat_mean_8h,0.013670424582970239
ACC_skew,0.013637583044728771
NNX,0.013549226651461079
Protein_8h,0.013391805762917243
HRV_Median,0.013321023948009911
Sugar_8h,0.013132371912757288
SDNN,0.012984689529239654
HR_skew,0.012789068067740376
Carbs_8h,0.012544252104643258
TEMP_skew,0.012536558734162732
Eat_cnt_24h,0.012277614903182913
Calories_8h,0.012175009050022109
Participant_ID,0.01186604991890755
HRV_Min,0.011825825764132297
HRV_Max,0.011613609000733733
HbA1c,0.009223726292897791
Eat_cnt_8h,0.008618317583608688
Eat_mean_2h,0.007343279737852236
Calories_2h,0.006598093783403192
Sugar_2h,0.006393318789057415
Protein_2h,0.00626171928972072
Carbs_2h,0.00624056254119265
Peak_eda_5min_sum,0.005919810801399969
Eat_cnt_2h,0.003562722358976468
Gender,0.002738686038695348
Wake_Time,0.0012783087435170326
Activity Bouts,0.0012286171437242029
Eat,0.0011286586139919994
