Feature,Importance
ACC_Std,0.043440733
Activity Bouts_1hr,0.042499237
HR_q3G,0.040138487
Gender,0.037475392
Minutes_from_midnight,0.03553941
HbA1c,0.033967875
Participant_ID,0.03279291
HR_Max,0.029756555
ACC_Max2hrs,0.028665295
TEMP_q3G,0.028017212
TEMP_q1G,0.027555065
Activity Bouts_24hr,0.025930723
TEMP_Max,0.02577299
Hours_from_midnight,0.025753753
ACC_Mean2hrs,0.024105927
EDA_q3G,0.023860125
EDA_q1G,0.023688724
Peak_eda_2hr_sum,0.023637652
EDA_Mean,0.023503434
TEMP_Min,0.02278505
HRV_Median,0.021745037
HR_q1G,0.019479875
TEMP_Mean,0.01900156
EDA_Min,0.018906627
EDA_Std,0.018619506
HR_Mean,0.01794032
EDA_Max,0.017833948
HRV_Mean,0.01674618
ACC_q3G,0.015643414
ACC_q1G,0.01533337
PNNX,0.014602825
ACC_Mean,0.014448817
NNX,0.014312434
HR_Min,0.0142777255
RMSSD,0.012952636
TEMP_Std,0.012601079
ACC_Max,0.012512921
HRV_Min,0.012322221
ACC_Min,0.011694229
SDNN,0.011683201
Wake_Time,0.011634269
Activity Bouts,0.011356893
HR_Std,0.0104550645
HRV_Max,0.010358601
ACC_skew,0.009958118
Peak_eda_5min_sum,0.009836448
EDA_skew,0.00948907
TEMP_skew,0.0077994373
HR_skew,0.0075675924
Peak_eda_2hr_mean,0.0
