Feature,Importance
Activity Bouts_1hr,0.031857632
ACC_Std,0.0313689
HR_q3G,0.029470954
Gender,0.028561316
Minutes_from_midnight,0.023891795
Participant_ID,0.022169514
HbA1c,0.022094518
Carbs_24h,0.021442609
Carbs_2h,0.021097066
Protein_24h,0.021051645
Sugar_8h,0.020878274
HR_Max,0.02079926
Eat_mean_8h,0.020759866
Eat_mean_24h,0.020755041
Calories_2h,0.020685658
Sugar_24h,0.02048188
Eat_cnt_24h,0.020054221
Protein_2h,0.019684205
Protein_8h,0.01964168
Calories_24h,0.01963411
ACC_Max2hrs,0.019321142
Carbs_8h,0.019233663
Eat_cnt_8h,0.019215904
Calories_8h,0.018577052
TEMP_q3G,0.017724918
Activity Bouts_24hr,0.016747179
Eat_mean_2h,0.016622666
Hours_from_midnight,0.016419156
TEMP_Max,0.016323647
EDA_q1G,0.016279154
TEMP_q1G,0.0160192
Eat_cnt_2h,0.01597055
EDA_q3G,0.015112681
Peak_eda_2hr_sum,0.015106917
Sugar_2h,0.015104734
ACC_Mean2hrs,0.014776213
TEMP_Min,0.014616574
HRV_Median,0.013776867
EDA_Min,0.013610412
EDA_Mean,0.013413704
HR_q1G,0.012515856
EDA_Std,0.01238066
TEMP_Mean,0.011676143
EDA_Max,0.011671756
HR_Mean,0.011566749
HRV_Mean,0.01051801
ACC_q1G,0.009322351
ACC_Mean,0.009114744
ACC_q3G,0.009084929
PNNX,0.00889023
NNX,0.008614458
HR_Min,0.008400378
ACC_Max,0.007597184
Wake_Time,0.007560036
RMSSD,0.00743084
ACC_Min,0.0071899253
TEMP_Std,0.0070711556
SDNN,0.006943897
HRV_Max,0.006776582
Activity Bouts,0.006661766
HRV_Min,0.0063301115
Peak_eda_5min_sum,0.006295487
HR_Std,0.006227993
ACC_skew,0.005719085
EDA_skew,0.0053055715
HR_skew,0.0045732125
TEMP_skew,0.004208392
Peak_eda_2hr_mean,0.0
Eat,0.0
