Feature,Importance
HbA1c,0.08712713560248454
Gender,0.071845085850102
Minutes_from_midnight,0.06800393647145611
Activity Bouts_24hr,0.05646428256629599
ACC_Max2hrs,0.045331729311567946
ACC_Mean2hrs,0.04027774683368631
Eat_mean_24h,0.028340069576896904
Calories_8h,0.025210279932721943
Protein_24h,0.022382099439433454
Peak_eda_2hr_mean,0.021760234485007444
Carbs_24h,0.02098885600117685
Calories_24h,0.019510443783482205
Sugar_24h,0.019218843255769464
Protein_8h,0.017879624267921338
Peak_eda_2hr_sum,0.016892162282675406
Eat_cnt_24h,0.015574790279002132
HRV_MeanNN,0.01456388278132261
Carbs_8h,0.013185022756292124
Eat_mean_8h,0.012834439153226553
Sugar_8h,0.012284073078675604
Activity Bouts_1hr,0.012086155252923593
TEMP_Max,0.01207133627220131
EDA_Max,0.011641107518663556
EDA_q1G,0.011268919802328277
BVP_Amplitude_Mean,0.009470015163037995
ACC_q1G,0.009339070938296851
TEMP_Min,0.008517157426114206
 ibi,0.00805190560986183
ACC_Std,0.007892682686031157
EDA_Min,0.0077076887678402565
EDA_q3G,0.007532577613228378
BVP_PPI_Mean,0.007195334552135145
Temp_95th,0.006762222907205405
Eat_mean_2h,0.006621584824624935
Hours_from_midnight,0.006607712925608155
HRV_Mean,0.006480859124734371
BVP_PPI_STD,0.006474530937143114
HR_Min_y,0.0064525085960315046
EDA_5th,0.0064362448721781845
TEMP_q1G,0.006409500356859822
Protein_2h,0.006076384085154497
Sugar_2h,0.005981314664465449
ACC_q3G,0.0059127592773324114
ACC_95th,0.0059103503352379355
TEMP_Mean,0.005890525079598645
HRV_SDSD,0.005868478613026764
EDA_95th,0.00586764717232506
EDA_Mean,0.005765456326146685
 hr,0.00569154348381475
NNX,0.005667193086764207
TEMP_q3G,0.005626078898638714
Eat_cnt_8h,0.005386088732963369
HRV_CVNN,0.005258740449767997
EDA_Std,0.005082933859722798
 eda,0.004983567378644423
ACC_5th,0.004923001411493061
ACC_Mean,0.004800290740203275
 temp,0.004730025003986551
 bvp,0.004654135011480971
EDA_Median,0.004522760357647063
Temp_Median,0.004478165078726375
Carbs_2h,0.004471438375060769
Temp_5th,0.004410720341263155
Temp_Variability,0.00434372202789574
Calories_2h,0.004285038526546879
HR_q1G,0.0042795917243399414
TEMP_Std,0.004174456238265361
HRV_Max,0.00404401115504068
PNNX,0.003993918555297919
HR_Variability,0.0039056385944749275
EDA_skew,0.00384675094745067
SDNN,0.0038289012441721075
ACC_Max,0.0037415288803252194
acc_vector_mag,0.003548335074858473
RMSSD,0.0034207011039883678
ACC_Median,0.003307929896089928
HRV_Median,0.0031071151104819887
ACC_Min,0.0030455758161866877
TEMP_skew,0.003022604235408448
ACC_skew,0.002998493280910809
HR_Std,0.002757480603734803
HR_q3G,0.0027028157447382102
Eat_cnt_2h,0.0027015389697875314
HR_Mean_y,0.002618259458144303
HR_Max_y,0.002597972824414273
HR_skew,0.0025054257440934617
HRV_Min,0.002465844877086129
Peak_eda_5min_sum,0.0012902202061727329
Wake_Time,0.0003042728619559692
Activity Bouts,0.00028768081535124866
Eat,0.00022072386307730606
