Feature,Importance
Minutes_from_midnight,0.025457277955190896
ACC_Mean2hrs,0.02141839793673478
Activity Bouts_24hr,0.02049010011956246
HR_q3G,0.019834666782854216
ACC_Max2hrs,0.018546580038379785
Peak_eda_2hr_sum,0.017627482929543505
Peak_eda_2hr_mean,0.01731459097077161
BVP_PPI_Mean,0.01727777234016452
ACC_Std,0.015007467726135615
BVP_Amplitude_Mean,0.015000422484154712
HRV_MeanNN,0.014884909641181636
Hours_from_midnight,0.014312218463064935
Temp_Median,0.013945316934221134
Eat_mean_24h,0.01356565373602045
EDA_q1G,0.01341639044559945
TEMP_q3G,0.013342847729252856
Carbs_24h,0.013262018313523244
Sugar_24h,0.012987884681791685
EDA_q3G,0.012925695861305648
Protein_24h,0.012921269878051598
TEMP_Mean,0.012895376516256624
EDA_Mean,0.012824319381722642
TEMP_q1G,0.012727085605619469
EDA_Max,0.012624719324064152
TEMP_Min,0.012491547954428125
 temp,0.012472068247115081
Temp_5th,0.012306461499024313
Temp_95th,0.012285427546997003
TEMP_Max,0.012248200617117797
Calories_24h,0.01206943312576683
BVP_PPI_STD,0.012020957257188826
ACC_Mean,0.011926512198662906
EDA_Std,0.01190972861607095
Eat_mean_8h,0.011847415436035399
HRV_SDSD,0.011839818433596877
EDA_95th,0.011725412028721297
ACC_q1G,0.01167708284628068
EDA_Min,0.011656280440026864
 ibi,0.011650543712002156
HRV_CVNN,0.01161590133755924
Activity Bouts_1hr,0.011466523944927396
ACC_q3G,0.011452076676893774
 eda,0.011397322961761014
EDA_Median,0.011035569163217554
ACC_5th,0.010982043351268407
ACC_95th,0.010905357382141333
Protein_8h,0.010895267856376954
EDA_5th,0.010796399160154678
HRV_Mean,0.010790619632905302
acc_vector_mag,0.010620456948445316
HR_Max_y,0.010525378069023685
HR_Variability,0.010389527280020294
Carbs_8h,0.010327737954294923
HR_q1G,0.01032625156694041
 hr,0.010286537326067467
Temp_Variability,0.010250789776357457
Sugar_8h,0.010206490487396185
HR_Min_y,0.010194294582753663
TEMP_Std,0.01014948732539984
ACC_Min,0.01014307713928991
ACC_Median,0.010088349686415782
ACC_Max,0.010018107459906306
Calories_8h,0.009821684640628998
PNNX,0.00982035401413725
 bvp,0.009805563100294908
RMSSD,0.009749639380542212
HR_Mean_y,0.009741881668620068
Eat_cnt_24h,0.009592134854355457
HR_skew,0.009416256020172563
HR_Std,0.009114667569648037
ACC_skew,0.009103038289791685
EDA_skew,0.009084678414984261
SDNN,0.009021026034083602
NNX,0.00901667606980104
TEMP_skew,0.008814865935110527
HRV_Median,0.0084045293877575
HRV_Max,0.008155381832538822
HRV_Min,0.007765448786584733
Eat_cnt_8h,0.007067262943842628
HbA1c,0.006983509808801278
Eat_mean_2h,0.006295345985749138
Calories_2h,0.0056298024094337045
Protein_2h,0.005038660322123729
Carbs_2h,0.00488589504249313
Sugar_2h,0.0047832634530102815
Peak_eda_5min_sum,0.004257645056149084
Eat_cnt_2h,0.002881617455879293
Gender,0.0020436602777402233
Eat,0.0016705075331725778
Activity Bouts,0.0014957924328874977
Wake_Time,0.0009382884559462155
